ISLAND,TRANSECTID,OCC_SITEID,REA_SITE,SITE_DEPTH_M,LATITUDE,LONGITUDE,REGION,STATUS,INSTRUMENTS
FFS,FFS-W,OCC-FFS-015,FFS-B015,4.6,23.79184,-166.23322,NWHI,Inactive,STR
FFS,,OCC-FFS-016,FFS-4535,2.7,23.73813,-166.1675,NWHI,Inactive,STR
FFS,,OCC-FFS-017,FFS-B009,24.1,23.63498,-166.18556,NWHI,Inactive,"STR, EAR, ANCHOR"
FFS,,OCC-FFS-018,FFS-4536,2.1,23.82794,-166.12122,NWHI,Inactive,STR
FFS,,OCC-FFS-019,FFS-4537,10.1,23.76887,-166.26197,NWHI,Inactive,"EAR, STR, ANCHOR"
FFS,,OCC-FFS-020,FFS-4538,0.2,23.85626,-166.27519,NWHI,Inactive,"SST-STR, STR, DRIFTER"
FFS,FFS-S,OCC-FFS-021,FFS-4539,10.4,23.63881,-166.1797,NWHI,Inactive,"STR, EAR"
FFS,,OCC-FFS-022,FFS-72,8.8,23.88049,-166.27307,NWHI,Inactive,"STR, CAU"
FFS,,OCC-FFS-023,FFS-4540,7.3,23.85626,-166.27516,NWHI,Inactive,"STR, ANCHOR"
FFS,,OCC-FFS-024,FFS-4541,7.9,23.85676,-166.27187,NWHI,Inactive,"STR, EAR, ANCHOR"
FFS,,OCC-FFS-025,FFS-4542,2.1,23.73815,-166.16685,NWHI,Inactive,STR
FFS,,OCC-FFS-026,FFS-16,0.9,23.85675,-166.27163,NWHI,Inactive,"SBE37, STR, EDL"
FFS,FFS-S,OCC-FFS-027,FFS-4543,2,23.64478,-166.1735,NWHI,Inactive,STR
FFS,,OCC-FFS-028,FFS-12,11.6,23.63835,-166.18005,NWHI,Inactive,CAU
FFS,"
",OCC-FFS-029,FFS-21,12.2,23.84688,-166.32697,NWHI,Inactive,CAU
FFS,,OCC-FFS-030,FFS-34,9.1,23.62792,-166.13538,NWHI,Inactive,CAU
FFS,,OCC-FFS-031,FFS-83,8.2,23.76928,-166.26173,NWHI,Inactive,CAU
FFS,,OCC-FFS-032,FFS-4544,237.7,23.6373,-166.2632166,NWHI,Inactive,EAR
FFS,,OCC-FFS-033,FFS-4545,113.4,23.743611,-166.396389,NWHI,Inactive,EAR
